x_km,bathy,topo
0,-1031,-1031
0.0999999999999943,-1032.4,-1026.9
0.200000000000003,-1033.8,-1022.8
0.299999999999997,-1035.2,-1018.7
0.400000000000006,-1036.6,-1014.6
0.5,-1038,-1010.5
0.599999999999994,-1039.4,-1006.4
0.700000000000003,-1040.8,-1002.3
0.799999999999997,-1042.2,-998.2
0.900000000000006,-1043.6,-994.1
1,-1045,-990
1.09999999999999,-1046,-988.7
1.2,-1047,-987.4
1.3,-1048,-986.1
1.40000000000001,-1049,-984.8
1.5,-1050,-983.5
1.59999999999999,-1051,-982.2
1.7,-1052,-980.9
1.8,-1053,-979.6
1.90000000000001,-1054,-978.3
2,-1055,-977
2.09999999999999,-1055.7,-974
2.2,-1056.4,-971
2.3,-1057.1,-968
2.40000000000001,-1057.8,-965
2.5,-1058.5,-962
2.59999999999999,-1059.2,-959
2.7,-1059.9,-956
2.8,-1060.6,-953
2.90000000000001,-1061.3,-950
3,-1062,-947
3.1,-1062.6,-948.5
3.2,-1063.2,-950
3.3,-1063.8,-951.5
3.4,-1064.4,-953
3.5,-1065,-954.5
3.6,-1065.6,-956
3.7,-1066.2,-957.5
3.8,-1066.8,-959
3.9,-1067.4,-960.5
4,-1068,-962
4.1,-1068.4,-959.3
4.2,-1068.8,-956.6
4.3,-1069.2,-953.9
4.4,-1069.6,-951.2
4.5,-1070,-948.5
4.6,-1070.4,-945.8
4.7,-1070.8,-943.1
4.8,-1071.2,-940.4
4.9,-1071.6,-937.7
5,-1072,-935
5.1,-1072.34335909216,-932.156009360488
5.2,-1072.68671818432,-929.312018720977
5.3,-1073.03007727648,-926.468028081466
5.4,-1073.37343636864,-923.624037441954
5.5,-1073.7167954608,-920.780046802443
5.6,-1074.06015455296,-917.936056162931
5.7,-1073.53229868998,-915.09206552342
5.8,-1072.95991169763,-913.080688261411
5.9,-1072.38752470528,-912.633959260465
6,-1071.81513771292,-912.187230259519
6.1,-1071.24275072057,-907.186945982123
6.2,-1070.46063199009,-901.902384312018
6.3,-1069.26623794027,-896.617822641914
6.4,-1068.07184389046,-894.944518816004
6.5,-1066.87744984064,-894.585750409043
6.6,-1065.68305579082,-894.226982002082
6.7,-1064.48866174101,-893.86821359512
6.8,-1063.29426769119,-893.509445188159
6.9,-1062.09987364138,-893.150676781198
7,-1060.57417913977,-889.887018401063
7.1,-1058.33440726145,-885.482062670805
7.2,-1056.09463538313,-883.683028984244
7.3,-1053.8548635048,-887.634329682526
7.4,-1051.61509162648,-891.585630380808
7.5,-1049.41533195684,-888.764783142295
7.6,-1047.56123345214,-885.239433351884
7.7,-1045.70713494743,-884.644303894638
7.8,-1043.85303644273,-886.982993703208
7.9,-1042.04834362599,-889.321683511778
8,-1040.7220086852,-891.660373320348
8.1,-1039.39567374441,-886.622483068261
8.2,-1038.06933880361,-880.678216943271
8.3,-1036.74300386282,-874.733950818281
8.4,-1035.41666892203,-876.443534756795
8.5,-1033.27704220409,-881.714244364856
8.6,-1030.2543243793,-884.523447716212
8.7,-1027.23160655452,-880.88814718332
8.8,-1024.20888872974,-877.252846650429
8.9,-1021.18617090496,-874.586014586042
9,-1018.16345308018,-885.134359833185
9.1,-1014.39245548109,-894.658011835276
9.2,-1010.50491500957,-888.996476190959
9.3,-1006.61737453805,-883.334940546643
9.4,-1002.72983406652,-880.022811107146
9.5,-998.842293594997,-883.534308835512
9.6,-994.954753123473,-887.045806563879
9.7,-991.111930854002,-876.350980929293
9.8,-988.155737848199,-866.572584162946
9.9,-985.199544842395,-867.285335719071
10,-982.243351836591,-867.998087275196
10.1,-979.287158830787,-868.710838831322
10.2,-976.330965824983,-869.423590387447
10.3,-973.374772819179,-862.1004179739
10.4,-970.229224285353,-853.187481801925
10.5,-966.452558512132,-844.274545629951
10.6,-962.675892738911,-842.927926205041
10.7,-958.899226965689,-846.087581557468
10.8,-955.122561192468,-839.987694713243
10.9,-951.345895419247,-828.252689484273
11,-948.382779857162,-816.517684255303
11.1,-945.925522993708,-804.883492787111
11.2,-943.468266130255,-801.182221808731
11.3,-941.011009266801,-797.480950830351
11.4,-938.553752403348,-793.77967985197
11.5,-936.101583425697,-790.038460721194
11.6,-935.750463766039,-769.80059807369
11.7,-935.39934410638,-762.307070409479
11.8,-935.048224446722,-758.012065421702
11.9,-934.697104787064,-753.717060433925
12,-934.345985127406,-741.659800936893
12.1,-933.994865467747,-724.236677296897
12.2,-933.643745808089,-720.890184504652
12.3,-933.292626148431,-727.480303022482
12.4,-932.941506488773,-729.364834714196
12.5,-932.067809669554,-709.830656818567
12.6,-931.045953707939,-694.407764046327
12.7,-930.024097746325,-698.359064744612
12.8,-929.002241784711,-702.310365442897
12.9,-927.980385823096,-706.261666141182
13,-926.589713512957,-708.167513468728
13.1,-924.916165701172,-699.716370415173
13.2,-923.242617889387,-693.277974310674
13.3,-921.569070077601,-697.417761996073
13.4,-919.895522265816,-701.557549681473
13.5,-918.221974454031,-700.045570527498
13.6,-916.548426642245,-688.163964308539
13.7,-914.87487883046,-676.282358089581
13.8,-912.780593948603,-675.065829764624
13.9,-910.662613661948,-674.449945775246
14,-908.544633375292,-673.834061785868
14.1,-906.426653088637,-673.21817779649
14.2,-904.308672801981,-672.602293807112
14.3,-902.190692515326,-676.580805048974
14.4,-900.07271222867,-682.228488631254
14.5,-897.954731942015,-687.876172213535
14.6,-895.470054493482,-672.569732259878
14.7,-892.956251533896,-655.598977388948
14.8,-890.442448574311,-641.439615174573
14.9,-887.928645614726,-648.029733692395
15,-885.41484265514,-654.619852210217
15.1,-882.901039695555,-661.209970728039
15.2,-880.38723673597,-633.896092305745
15.3,-877.873433776385,-603.278879568044
15.4,-875.943357400525,-618.84539075589
15.5,-874.073736438061,-639.195059332757
15.6,-872.204115475598,-656.818726767088
15.7,-870.334494513135,-649.649295225882
15.8,-868.464873550671,-642.479863684677
15.9,-866.595252588208,-644.720848214853
16,-864.797409387105,-669.782691469473
16.1,-863.734956228267,-672.456145187057
16.2,-862.672503069429,-664.972568667334
16.3,-861.61004991059,-657.488992147611
16.4,-860.547596751752,-650.005415627888
16.5,-859.485143592914,-642.521839108166
16.6,-858.422690434075,-631.571835748523
16.7,-857.360237275237,-620.130032499502
16.8,-856.312278473061,-608.688229250482
